MP_Name,Is_Former_Member,Constituency,State,Lok_Sabha,Entitlement,Released,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UnspentBalance,Flag_Overspend,Sanction_Ratio,Flag_Sanction_Over_Entitlement,Recomm_Ratio,Flag_Recomm_Over_Entitlement,Unspent_Share,Flag_Idle_Funds,Execution_Gap_Share,Flag_Execution_Gap,Anomaly_Score,Risk_Score,Risk_Level,Risk_Reasons
Kuldeep Rai Sharma,False,ANDAMAN AND NICOBAR ISLANDS,,17th Lok Sabha,17.0,5.0,5.2038,18.2939,10.9222,2.5269,2.6769,0,0.6424823529411765,0,1.0761117647058824,0,0.5144125446788884,1,0.7686455109776419,1,0.663,53.3,Medium,High idle/unspent balance (>50%); Execution delay gap (>40% sanctioned not spent); Peer distribution outlier (Isolation Forest)
Srinivas Kesineni,False,VIJAYAWADA,,17th Lok Sabha,17.0,9.5,15.3459,36.0984,22.8532,12.5675,2.7784,0,1.3443058823529412,1,2.123435294117647,1,0.1810516163926521,0,0.4500770132847916,1,0.707,74.1,High,Works sanctioned exceed entitlement ceiling (>105%); Over-recommendation (>200% entitlement); Execution delay gap (>40% sanctioned not spent); Peer distribution outlier (Isolation Forest)
Kuruva Gorantla Madhav,False,HINDUPUR,,17th Lok Sabha,17.0,9.5,18.5668,34.0322,25.2437,16.1535,2.4133,0,1.4849235294117646,1,2.001894117647059,1,0.12997931792231293,0,0.3600977669675998,0,0.715,54.3,Medium,Works sanctioned exceed entitlement ceiling (>105%); Over-recommendation (>200% entitlement); Peer distribution outlier (Isolation Forest)
Mvvv Satyanarayana,False,MVVV VISAKHAPATNAM,,17th Lok Sabha,17.0,7.0,9.6406,8.9386,8.6086,7.6388,2.0018,0,0.5063882352941176,0,0.5257999999999999,0,0.2076426778416281,0,0.11265478707339166,0,0.479,9.6,Low,Compliant within operational parameters
Raghu Ramakrishna Raju Kanumuru,False,NARASAPURAM,,17th Lok Sabha,17.0,5.0,11.7435,12.35,6.96,2.1454,9.5981,0,0.40941176470588236,0,0.7264705882352941,0,0.8173117043470858,1,0.6917528735632185,1,0.676,53.5,Medium,High idle/unspent balance (>50%); Execution delay gap (>40% sanctioned not spent); Peer distribution outlier (Isolation Forest)
Maddila Gurumoorthy,False,TIRUPATI(SC),,17th Lok Sabha,12.0,2.0,12.6146,25.9159,22.5134,10.0,2.6146,0,1.8761166666666667,1,2.1596583333333332,1,0.20726776909295577,0,0.5558200893689981,1,0.731,74.6,High,Works sanctioned exceed entitlement ceiling (>105%); Over-recommendation (>200% entitlement); Execution delay gap (>40% sanctioned not spent); Peer distribution outlier (Isolation Forest)
Beesetti Venkata Satyavathi,False,ANAKAPALLE,,17th Lok Sabha,17.0,7.0,16.1463,20.8276,15.7482,13.3994,2.7469,0,0.926364705882353,0,1.2251529411764706,0,0.1701256634646947,0,0.1491472041249159,0,0.575,11.5,Low,Compliant within operational parameters
Talari Rangaiah,False,ANANTAPUR,,17th Lok Sabha,24.5,7.0,10.9197,27.7902,22.5322,9.7397,1.18,0,0.9196816326530612,0,1.1342938775510203,0,0.10806157678324495,0,0.5677430521653456,1,0.576,31.5,Low,Execution delay gap (>40% sanctioned not spent)
Pocha Brahmananda Reddy,False,NANDYAL,,17th Lok Sabha,27.0,17.0,18.3777,22.5189,22.121,16.0729,2.3048,0,0.8192962962962963,0,0.8340333333333333,0,0.1254128645042633,0,0.27340988201256716,0,0.518,10.4,Low,Compliant within operational parameters
Lavu Sri Krishna Devarayalu,False,NARASARAOPET,,17th Lok Sabha,17.0,7.0,11.1752,13.6755,13.2705,9.9319,1.2433,0,0.7806176470588235,0,0.8044411764705882,0,0.11125527954756963,0,0.2515805734523944,0,0.5,10.0,Low,Compliant within operational parameters
