Project_ID,MP_Name,State,Constituency,Allocated_Ceiling,Work_Type,Vendor,Sanctioned_Amount,Bill_Amount,UC_Amount,Cumulative_Sanctioned,Days_to_Completion,Is_Overrun,Is_Duplicate,Is_Delayed,Has_Doc_Mismatch,Duplicate_Group_ID,Ceiling_Breach,Doc_Amount_Gap_Pct,Vendor_Is_Suspect,Model_Risk_Prob,Risk_Score,Risk_Level,Amount_Ratio
MPLAD-1000,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,190289442.0,Health Sub-Centre,Vendor_022,4816019.08,4816019.08,4835497.96,4816019.08,262,0,0,0,0,,0,0.4,1,0.009116652172084846,0.4,Medium,1.15
MPLAD-1001,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,190289442.0,School Building,Vendor_022,10128682.8,10128682.8,11706383.22,14944701.88,148,1,0,0,1,,0,15.6,1,0.9647266605775947,1.0,High,2.03
MPLAD-1002,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,190289442.0,School Building,Vendor_015,4357930.9,4357930.9,4337442.0,19302632.79,135,0,0,0,0,,0,0.5,0,0.00011166112739750363,0.0,Low,0.87
MPLAD-1003,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,190289442.0,Community Hall,Vendor_004,2909997.25,2909997.25,2945894.67,22212630.04,149,0,0,0,0,,0,1.2,1,0.002284229369209672,0.4,Medium,1.04
MPLAD-1004,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,190289442.0,Road Construction,Vendor_008,6801108.17,6801108.17,9367371.0,29013738.21,133,1,0,0,1,,0,37.7,0,0.8109131574925836,0.85,High,1.94
MPLAD-1005,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,190289442.0,Community Hall,Vendor_018,2397932.68,2397932.68,2440088.23,31411670.88,271,0,0,1,0,,0,1.8,0,0.0010082943907614723,0.001,Low,0.86
MPLAD-1006,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,154773472.11,Community Hall,Vendor_025,1891823.19,1891823.19,1895054.13,1891823.19,85,0,0,0,0,,0,0.2,0,0.001486683879122714,0.001,Low,0.68
MPLAD-1007,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,154773472.11,Road Construction,Vendor_022,1249187.87,1249187.87,1260630.79,3141011.06,97,0,0,0,0,,0,0.9,1,2.3174931294200003e-05,0.4,Medium,0.36
MPLAD-1008,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,154773472.11,Road Construction,Vendor_012,3753904.41,3753904.41,3688370.01,6894915.48,215,0,0,0,0,,0,1.7,0,0.001840478186375028,0.002,Low,1.07
MPLAD-1009,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,154773472.11,Sports Infrastructure,Vendor_003,3950005.4,3950005.4,3983698.12,10844920.88,283,0,0,1,0,,0,0.9,0,0.013934351418720903,0.014,Low,1.32
